Player,Position,Age,Team,Games played,Games started,Mintues played,Field goals,Field goals attempted,Field goal attempts per game,3 pointers,3 pointers attempted,Free throws,Free throws attempted,Rebounds,Assists,Steals,Blocks,Turnovers,Personal fouls,Points,Points per game
Shayne Whittington,PF,24,IND,7,0,41,5,11,1.6,0,2,1,2,12,3,1,1,5,7,11,1.6
Shelvin Mack,PG,25,ATL,24,0,179,40,95,4,4,27,9,12,22,38,8,0,14,7,93,3.9
Shelvin Mack,PG,25,TOT,52,27,1058,182,415,8,39,125,45,61,128,187,34,3,95,72,448,8.6
Shelvin Mack,PG,25,UTA,28,27,879,142,320,11.4,35,98,36,49,106,149,26,3,81,65,355,12.7
Solomon Hill,SF,24,IND,59,3,866,93,208,3.5,24,74,36,42,166,57,37,11,33,68,246,4.2
Sonny Weems,SF,29,PHI,7,0,78,7,21,3,2,9,1,2,12,2,0,0,4,7,17,2.4
Sonny Weems,SG,29,PHO,36,0,421,35,89,2.5,13,32,7,13,41,47,10,1,37,40,90,2.5
Sonny Weems,SG-SF,29,TOT,43,0,499,42,110,2.6,15,41,8,15,53,49,10,1,41,47,107,2.5
Spencer Dinwiddie,PG,22,DET,12,0,159,19,54,4.5,1,10,19,33,17,22,3,0,7,20,58,4.8
Spencer Hawes,PF,27,CHO,57,6,1035,124,306,5.4,38,102,54,65,244,109,22,27,58,111,340,6
Stanley Johnson,SF,19,DET,73,6,1687,225,600,8.2,63,205,80,102,306,118,55,12,114,178,593,8.1
Stephen Curry,PG,27,GSW,79,79,2700,805,1598,20.2,402,886,363,400,430,527,169,15,262,161,2375,30.1
Steve Blake,PG,35,DET,58,2,986,93,240,4.1,52,151,16,20,89,200,24,5,81,70,254,4.4
Steve Novak,PF,32,MIL,3,0,20,2,6,2,2,6,1,1,1,0,0,0,0,2,7,2.3
Steve Novak,PF,32,OKC,7,0,24,6,12,1.7,5,9,0,0,4,0,0,0,1,1,17,2.4
Steve Novak,PF,32,TOT,10,0,44,8,18,1.8,7,15,1,1,5,0,0,0,1,3,24,2.4
Steven Adams,C,22,OKC,80,80,2014,261,426,5.3,0,0,114,196,533,62,42,89,84,223,636,8
T.J. McConnell,PG,23,PHI,81,17,1606,218,464,5.7,31,89,26,41,250,367,95,10,140,114,493,6.1
T.J. Warren,SF,22,PHO,47,4,1070,221,441,9.4,28,70,45,64,147,44,37,16,32,94,515,11
Taj Gibson,PF,30,CHI,73,55,1936,263,500,6.8,0,3,101,146,504,106,47,77,78,180,627,8.6
Tarik Black,C,24,LAL,39,0,496,57,104,2.7,0,0,19,45,157,16,14,18,22,78,133,3.4
Tayshaun Prince,SF,35,MIN,77,44,1462,102,229,3,4,23,13,19,147,73,36,13,27,62,221,2.9
Terrence Jones,PF,24,HOU,50,11,1044,166,367,7.3,25,79,77,116,211,41,23,39,49,86,434,8.7
Terrence Ross,SF,24,TOR,73,7,1747,270,626,8.6,131,339,49,62,185,56,54,25,46,120,720,9.9
Terry Rozier,PG,21,BOS,39,0,311,29,106,2.7,6,27,8,10,63,37,6,1,19,23,72,1.8
Thabo Sefolosha,SF,31,ATL,75,11,1758,188,372,5,42,124,62,99,334,107,85,37,68,109,480,6.4
Thaddeus Young,PF,27,BRK,73,73,2407,495,963,13.2,7,30,105,163,660,135,112,37,136,182,1102,15.1
Thanasis Antetokounmpo,SF,23,NYK,2,0,6,3,4,2,0,1,0,0,1,0,0,0,0,2,6,3
Thomas Robinson,PF,24,BRK,71,7,917,130,291,4.1,0,1,47,109,359,46,39,36,69,111,307,4.3
Tiago Splitter,C,31,ATL,36,2,579,81,155,4.3,0,2,39,48,120,30,20,12,24,71,201,5.6
Tibor Pleiss,C,26,UTA,12,0,82,11,25,2.1,0,2,2,2,15,2,1,2,8,19,24,2
Tim Duncan,C,39,SAS,61,60,1536,215,441,7.2,0,2,92,131,447,163,47,78,90,125,522,8.6
Tim Frazier,PG,25,NOP,16,1,469,76,169,10.6,13,31,45,59,71,120,23,1,38,42,210,13.1
Tim Frazier,PG,25,POR,35,1,272,20,60,1.7,3,17,8,15,39,42,10,1,27,31,51,1.5
Tim Frazier,PG,25,TOT,51,2,741,96,229,4.5,16,48,53,74,110,162,33,2,65,73,261,5.1
Tim Hardaway,SG,23,ATL,51,1,864,114,265,5.2,48,142,50,56,86,51,21,7,23,48,326,6.4
Timofey Mozgov,C,29,CLE,76,48,1326,203,359,4.7,1,7,68,95,337,33,22,57,71,159,475,6.3
Tobias Harris,PF,23,DET,27,25,903,166,348,12.9,33,88,82,90,168,70,18,12,30,62,447,16.6
Tobias Harris,PF,23,ORL,49,49,1610,251,541,11,47,151,120,153,342,99,47,28,78,91,669,13.7
Tobias Harris,PF,23,TOT,76,74,2513,417,889,11.7,80,239,202,243,510,169,65,40,108,153,1116,14.7
Toney Douglas,PG,29,NOP,61,18,1262,183,445,7.3,81,203,84,99,143,157,70,5,64,131,531,8.7
Tony Allen,SG,34,MEM,64,57,1620,215,469,7.3,15,42,90,138,296,70,110,18,78,175,535,8.4
Tony Parker,PG,33,SAS,72,72,1980,350,710,9.9,27,65,130,171,176,379,54,11,131,114,857,11.9
Tony Snell,SF,24,CHI,64,33,1301,126,339,5.3,56,155,30,33,199,63,16,17,52,100,338,5.3
Tony Wroten,PG,22,PHI,8,3,144,22,65,8.1,3,17,20,37,21,20,3,0,29,11,67,8.4
Trevor Ariza,SF,30,HOU,81,81,2859,357,859,10.6,185,499,126,161,366,188,160,26,113,177,1025,12.7
Trevor Booker,PF,28,UTA,79,2,1632,190,388,4.9,12,41,71,106,452,84,59,41,81,169,463,5.9
Trey Burke,PG,23,UTA,64,0,1366,262,634,9.9,88,256,67,82,112,148,35,6,80,86,679,10.6
Trey Lyles,PF,20,UTA,80,33,1382,191,436,5.5,49,128,57,82,299,59,26,18,65,114,488,6.1
Tristan Thompson,PF,24,CLE,82,34,2269,247,420,5.1,0,0,149,242,738,62,38,51,61,202,643,7.8
Troy Daniels,SG,24,CHO,43,0,476,89,187,4.3,59,122,5,9,57,21,11,3,24,40,242,5.6
Ty Lawson,PG,28,HOU,53,12,1176,111,287,5.4,31,94,56,80,89,180,43,6,82,71,309,5.8
Ty Lawson,PG,28,IND,13,1,235,28,67,5.2,5,14,3,6,31,57,10,1,13,16,64,4.9
Ty Lawson,PG,28,TOT,66,13,1411,139,354,5.4,36,108,59,86,120,237,53,7,95,87,373,5.7
Tyler Ennis,PG,21,MIL,46,7,654,84,187,4.1,13,39,25,34,75,95,25,1,46,64,206,4.5
Tyler Hansbrough,PF,30,CHO,44,0,343,32,71,1.6,2,3,38,65,89,8,12,7,12,55,104,2.4
Tyler Johnson,SG,23,MIA,36,5,863,118,243,6.8,27,71,51,64,109,79,24,14,47,66,314,8.7
Tyler Zeller,C,26,BOS,60,3,710,138,290,4.8,0,0,88,108,178,29,10,22,46,97,364,6.1
Tyreke Evans,SG,26,NOP,25,25,765,136,314,12.6,33,85,74,93,129,164,32,8,73,66,379,15.2
Tyson Chandler,C,33,PHO,66,60,1618,183,314,4.8,0,1,106,171,576,64,36,44,93,145,472,7.2
Tyus Jones,PG,19,MIN,37,0,573,56,156,4.2,16,53,28,39,47,108,31,3,33,33,156,4.2
Udonis Haslem,PF,35,MIA,37,0,260,23,61,1.6,1,9,12,16,75,14,5,2,5,25,59,1.6
Victor Oladipo,SG,23,ORL,72,52,2379,425,970,13.5,98,282,205,247,345,282,116,54,153,174,1153,16
Vince Carter,SG,39,MEM,60,3,1005,133,343,5.7,59,169,70,84,146,56,38,16,35,101,395,6.6
Walter Tavares,C,23,ATL,11,0,73,11,19,1.7,0,0,3,8,21,3,1,6,5,8,25,2.3
Wayne Ellington,SG,28,BRK,76,41,1615,218,561,7.4,96,268,54,63,174,83,48,5,45,82,586,7.7
Wesley Johnson,SF,28,LAC,80,9,1666,208,515,6.4,103,309,30,46,248,49,89,56,54,173,549,6.9
Wesley Matthews,SG,29,DAL,78,78,2644,331,854,10.9,189,525,126,146,238,151,78,17,78,179,977,12.5
Will Barton,SG,25,DEN,82,1,2353,425,983,12,112,325,216,268,476,203,71,39,139,147,1178,14.4
Willie Cauley-Stein,C,22,SAC,66,39,1412,191,339,5.1,0,2,81,125,352,37,48,66,46,146,463,7
Willie Reed,PF,25,BRK,39,2,426,76,133,3.4,0,0,30,55,122,10,6,30,16,47,182,4.7
Xavier Munford,SG,23,MEM,14,0,244,32,77,5.5,9,23,7,14,31,22,13,3,15,25,80,5.7
Zach LaVine,SG,20,MIN,82,33,2294,433,959,11.7,123,316,161,203,228,251,69,17,155,193,1150,14
Zach Randolph,PF,34,MEM,68,53,2016,431,907,13.3,6,26,172,216,529,142,43,13,105,146,1040,15.3
Zaza Pachulia,C,31,DAL,76,69,2004,219,470,6.2,0,3,212,276,718,128,64,22,119,181,650,8.6
