Player,Position,Age,Team,Games played,Games started,Mintues played,Field goals,Field goals attempted,Field goal attempts per game,3 pointers,3 pointers attempted,Free throws,Free throws attempted,Rebounds,Assists,Steals,Blocks,Turnovers,Personal fouls,Points,Points per game
Ramon Sessions,PG,29,WAS,82,5,1667,280,592,7.2,36,111,214,283,203,239,46,5,115,102,810,9.9
Randy Foye,SG,32,DEN,54,7,1070,117,333,6.2,50,169,39,47,105,112,26,16,58,83,323,6
Randy Foye,SG,32,OKC,27,1,572,52,149,5.5,25,81,22,27,51,49,13,13,28,48,151,5.6
Randy Foye,SG,32,TOT,81,8,1642,169,482,6,75,250,61,74,156,161,39,29,86,131,474,5.9
Rashad Vaughn,SG,19,MIL,70,6,1001,81,266,3.8,43,147,12,15,88,39,29,16,28,73,217,3.1
Rasual Butler,SF,36,SAS,46,0,432,49,104,2.3,15,49,11,16,56,24,13,23,8,11,124,2.7
Raul Neto,PG,23,UTA,81,53,1499,180,418,5.2,64,162,52,70,120,174,62,2,109,122,476,5.9
Ray McCallum,PG,24,MEM,10,3,219,28,79,7.9,10,26,3,5,16,27,7,3,13,15,69,6.9
Ray McCallum,PG,24,SAS,31,3,256,27,67,2.2,5,16,9,10,31,33,5,4,11,14,68,2.2
Ray McCallum,PG,24,TOT,41,6,475,55,146,3.6,15,42,12,15,47,60,12,7,24,29,137,3.3
Raymond Felton,PG,31,DAL,80,31,2192,277,682,8.5,60,213,149,176,258,284,68,15,121,141,763,9.5
Reggie Bullock,SF,24,DET,37,0,429,43,98,2.6,22,53,14,15,68,27,10,2,8,29,122,3.3
Reggie Jackson,PG,25,DET,79,79,2424,540,1244,15.7,118,334,291,337,253,492,59,11,223,187,1489,18.8
Richard Jefferson,SF,35,CLE,74,5,1326,143,312,4.2,66,173,58,87,128,59,33,14,43,129,410,5.5
Richaun Holmes,PF,22,PHI,51,1,702,114,222,4.4,8,44,51,74,135,33,19,40,32,92,287,5.6
Ricky Rubio,PG,25,MIN,76,76,2323,219,586,7.7,62,190,266,314,326,658,162,10,193,201,766,10.1
Robert Covington,SF,25,PHI,67,49,1903,274,712,10.6,170,482,140,177,419,97,105,40,143,232,858,12.8
Robert Sacre,C,26,LAL,25,1,320,31,75,3,0,0,25,38,72,14,4,10,12,43,87,3.5
Robin Lopez,C,27,NYK,82,82,2219,357,662,8.1,0,1,128,161,602,114,16,129,133,182,842,10.3
Rodney Hood,SG,23,UTA,79,79,2541,408,972,12.3,161,449,172,200,267,213,73,16,125,202,1149,14.5
Rodney Stuckey,PG,29,IND,58,1,1275,183,443,7.6,20,83,131,158,156,142,43,8,76,77,517,8.9
Rondae Hollis-Jefferson,SF,21,BRK,29,17,615,63,138,4.8,4,14,37,52,154,43,39,16,26,61,167,5.8
Ronnie Price,PG,32,PHO,62,18,1211,116,302,4.9,68,196,31,41,99,147,74,13,70,161,331,5.3
Roy Hibbert,C,29,LAL,81,81,1878,182,411,5.1,0,2,117,145,398,95,32,110,76,252,481,5.9
Rudy Gay,SF,29,SAC,70,70,2379,466,1007,14.4,74,215,198,254,456,120,100,51,139,184,1204,17.2
Rudy Gobert,C,23,UTA,61,60,1932,198,354,5.8,0,0,161,283,668,91,45,135,114,163,557,9.1
Russ Smith,PG,24,MEM,15,0,66,7,22,1.5,1,5,8,13,9,11,5,1,7,5,23,1.5
Russell Westbrook,PG,27,OKC,80,80,2750,656,1444,18.1,101,341,465,573,626,834,163,20,342,200,1878,23.5
Ryan Anderson,PF,27,NOP,66,7,2008,397,929,14.1,131,358,199,228,396,73,38,25,90,109,1124,17
Ryan Hollins,C,31,MEM,32,9,412,45,72,2.3,0,0,26,42,87,10,6,20,21,58,116,3.6
Ryan Hollins,C,31,TOT,37,12,460,49,79,2.1,0,0,26,42,98,10,6,21,24,62,124,3.4
Ryan Hollins,C,31,WAS,5,3,48,4,7,1.4,0,0,0,0,11,0,0,1,3,4,8,1.6
Ryan Kelly,PF,24,LAL,36,0,470,55,149,4.1,5,37,37,54,121,20,13,10,18,39,152,4.2
Salah Mejri,C,29,DAL,34,6,397,49,78,2.3,0,1,27,46,123,10,8,36,23,54,125,3.7
Sam Dekker,SF,21,HOU,3,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Sasha Kaun,C,30,CLE,25,0,95,9,17,0.7,0,0,5,11,26,3,4,5,7,11,23,0.9
Sasha Vujacic,SG,31,NYK,61,25,908,106,277,4.5,52,143,32,39,149,84,34,5,44,83,296,4.9
Sean Kilpatrick,SG,26,BRK,23,0,534,115,249,10.8,35,97,53,59,50,26,10,2,27,30,318,13.8
Sean Kilpatrick,SG,26,DEN,8,0,82,8,21,2.6,4,17,7,8,6,3,2,0,4,7,27,3.4
Sean Kilpatrick,SG,26,TOT,31,0,616,123,270,8.7,39,114,60,67,56,29,12,2,31,37,345,11.1
Serge Ibaka,PF,26,OKC,78,78,2500,416,869,11.1,60,184,91,121,533,66,38,148,108,211,983,12.6
Sergey Karasev,SF,22,BRK,40,5,399,30,74,1.9,11,37,26,28,58,35,6,2,22,27,97,2.4
Seth Curry,PG,25,SAC,44,9,692,102,224,5.1,50,111,45,54,60,67,22,3,36,41,299,6.8
Shabazz Muhammad,SF,23,MIN,82,0,1682,317,681,8.3,44,152,185,242,267,52,24,7,70,94,863,10.5
Shabazz Napier,PG,24,ORL,55,0,600,68,201,3.7,34,104,33,45,55,97,23,1,46,38,203,3.7
Shane Larkin,PG,23,BRK,78,17,1751,222,502,6.4,39,108,83,107,180,342,95,12,146,121,566,7.3
Shaun Livingston,PG,30,GSW,78,3,1520,203,379,4.9,2,12,80,93,169,237,57,27,78,140,488,6.3
